is_fiverr_choice,score,buying_review_rating_count,is_pro,buying_review_rating,seller_country,pos,count,seller_level,price_i,seller_name
False,5,21,False,5,PK,322,87,level_two_seller,300,tech_dose
False,4.9466667,17,False,4.9,AL,323,25,level_two_seller,380,tigrow
False,4.904762,14,False,4.9,PK,324,14,level_one_seller,15,webflow321
False,4.982684,640,False,5,PK,325,663,top_rated_seller,20,hamza__yaqoob
False,5,54,False,5,PK,326,54,level_two_seller,35,wp_khan786
False,4.9217687,117,False,4.9,PK,327,163,level_one_seller,85,saira7100
False,5,4,False,5,AU,328,5,level_one_seller,80,denis89722
False,4.902968,468,False,4.9,BD,329,595,level_one_seller,100,ar_hredoy
False,4.977133,475,True,5,PL,330,520,top_rated_seller,395,kirillillenkov
False,4.8367457,80,False,4.8,US,331,20809,level_one_seller,295,sunshee
False,4.9949493,122,False,5,PK,332,122,level_two_seller,130,fahaadmalik
False,5,26,False,5,PK,333,26,level_one_seller,150,cyber_sculptor
False,4.81362,93,False,4.8,BD,334,93,level_two_seller,80,webdot2
False,4.94754,3,True,5,IN,335,1665,top_rated_seller,3355,massivework
False,4.9880953,28,False,5,PK,336,28,level_one_seller,100,nexa_genius
False,4.9748063,400,False,5,PK,337,491,level_two_seller,80,junaidjd43
False,4.9379845,131,False,4.9,PK,338,152,level_two_seller,85,ferozarshad
False,5,13,False,5,US,339,13,,10,harrietrubby00
False,4.9512196,15,False,5,GB,340,349,level_two_seller,60,speciallity
False,4.7545786,91,False,4.8,PK,341,91,level_two_seller,50,web_prodesigns
False,4.715942,136,False,4.7,PK,342,139,level_one_seller,20,fahad612
False,4.9806204,26,True,5,GB,343,113,top_rated_seller,500,johnaniht
False,4.9673915,131,False,5,PK,344,136,level_two_seller,275,noormuhammad_uc
False,4.964286,28,False,4.9,BA,345,56,level_two_seller,50,vukovicstefan
False,4.949772,7,False,5,PK,346,301,top_rated_seller,880,haseeb_ahmad9
